Date,Time,Teams,Venue,Type,Result
April 18,4:00 PM IST,Mumbai Indians Vs Chennai Super Kings,Newlands, Cape Town,Leag ue,Mumbai Indians Won by 19 Run(s)
April 18,8:00 PM IST,Royal Challengers Bangalore Vs Rajasthan Royals,Newlands, Cape Town,Leag ue,Royal Challengers Bangalore Won by 75 Run(s)
April 19,4:00 PM IST,Kings XI Punjab Vs Delhi Capitals,Newlands, Cape Town,Leag ue,Delhi Capitals Won by DL Method
April 19,8:00 PM IST,Kolkata Knight Riders Vs Deccan Chargers,Newlands, Cape Town,Leag ue,Deccan Chargers Won by 8 Wicket(s)
April 20,8:00 PM IST,Chennai Super Kings Vs Royal Challengers Bangalore,St George's Park, Port Elizabeth,Leag ue,Chennai Super Kings Won by 92 Run(s)
April 21,8:00 PM IST,Kings XI Punjab Vs Kolkata Knight Riders,Kingsmead, Durban,Leag ue,Kolkata Knight Riders Won by DL Method
April 22,8:00 PM IST,Deccan Chargers Vs Royal Challengers Bangalore,Newlands, Cape Town,Leag ue,Deccan Chargers Won by 24 Run(s)
April 23,4:00 PM IST,Rajasthan Royals Vs Kolkata Knight Riders,Newlands, Cape Town,Leag ue,Rajasthan Royals Won by
April 23,8:00 PM IST,Delhi Capitals Vs Chennai Super Kings,Kingsmead, Durban,Leag ue,Delhi Capitals Won by 9 Run(s)
April 24,8:00 PM IST,Royal Challengers Bangalore Vs Kings XI Punjab,Kingsmead, Durban,Leag ue,Kings XI Punjab Won by 7 Wicket(s)
April 25,8:00 PM IST,Deccan Chargers Vs Mumbai Indians,Kingsmead, Durban,Leag ue,Deccan Chargers Won by 12 Run(s)
April 26,4:00 PM IST,Kings XI Punjab Vs Rajasthan Royals,Newlands, Cape Town,Leag ue,Kings XI Punjab Won by 27 Run(s)
April 26,8:00 PM IST,Royal Challengers Bangalore Vs Delhi Capitals,St George's Park, Port Elizabeth,Leag ue,Delhi Capitals Won by 6 Wicket(s)
April 27,4:00 PM IST,Chennai Super Kings Vs Deccan Chargers,Kingsmead, Durban,Leag ue,Deccan Chargers Won by 6 Wicket(s)
April 27,8:00 PM IST,Mumbai Indians Vs Kolkata Knight Riders,St George's Park, Port Elizabeth,Leag ue,Mumbai Indians Won by 92 Run(s)
April 28,8:00 PM IST,Delhi Capitals Vs Rajasthan Royals,SuperSport Park, Centurion,Leag ue,Rajasthan Royals Won by 5 Wicket(s)
April 29,4:00 PM IST,Kings XI Punjab Vs Mumbai Indians,Kingsmead, Durban,Leag ue,Kings XI Punjab Won by 3 Run(s)
April 29,8:00 PM IST,Kolkata Knight Riders Vs Royal Challengers Bangalore,Kingsmead, Durban,Leag ue,Royal Challengers Bangalore Won by 5 Wicket(s)
April 30,4:00 PM IST,Deccan Chargers Vs Delhi Capitals,SuperSport Park, Centurion,Leag ue,Delhi Capitals Won by 6 Wicket(s)
April 30,8:00 PM IST,Chennai Super Kings Vs Rajasthan Royals,SuperSport Park, Centurion,Leag ue,Chennai Super Kings Won by 38 Run(s)
May 1,4:00 PM IST,Royal Challengers Bangalore Vs Kings XI Punjab,Kingsmead, Durban,Leag ue,Royal Challengers Bangalore Won by 8 Run(s)
May 1,8:00 PM IST,Mumbai Indians Vs Kolkata Knight Riders,Buffalo Park, East London,Leag ue,Mumbai Indians Won by 9 Run(s)
May 2,4:00 PM IST,Deccan Chargers Vs Rajasthan Royals,St George's Park, Port Elizabeth,Leag ue,Rajasthan Royals Won by 3 Wicket(s)
May 2,8:00 PM IST,Chennai Super Kings Vs Delhi Capitals,New Wanderers Stadium, Johannesburg,Leag ue,Chennai Super Kings Won by 18 Run(s)
May 3,4:00 PM IST,Kolkata Knight Riders Vs Kings XI Punjab,St George's Park, Port Elizabeth,Leag ue,Kings XI Punjab Won by 6 Wicket(s)
May 3,8:00 PM IST,Mumbai Indians Vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Leag ue,Royal Challengers Bangalore Won by 9 Wicket(s)
May 4,8:00 PM IST,Chennai Super Kings Vs Deccan Chargers,Buffalo Park, East London,Leag ue,Chennai Super Kings Won by 78 Run(s)
May 5,4:00 PM IST,Rajasthan Royals Vs Kings XI Punjab,Kingsmead, Durban,Leag ue,Rajasthan Royals Won by 78 Run(s)
May 5,8:00 PM IST,Kolkata Knight Riders Vs Delhi Capitals,Kingsmead, Durban,Leag ue,Delhi Capitals Won by 9 Wicket(s)
May 6,8:00 PM IST,Deccan Chargers Vs Mumbai Indians,SuperSport Park, Centurion,Leag ue,Deccan Chargers Won by 19 Run(s)
May 7,4:00 PM IST,Royal Challengers Bangalore Vs Rajasthan Royals,SuperSport Park, Centurion,Leag ue,Rajasthan Royals Won by 7 Wicket(s)
May 7,8:00 PM IST,Chennai Super Kings Vs Kings XI Punjab,SuperSport Park, Centurion,Leag ue,Chennai Super Kings Won by DL Method
May 8,8:00 PM IST,Mumbai Indians Vs Delhi Capitals,Buffalo Park, East London,Leag ue,Delhi Capitals Won by 7 Wicket(s)
May 9,4:00 PM IST,Deccan Chargers Vs Kings XI Punjab,De Beers Diamond Oval, Kimberley,Leag ue,Kings XI Punjab Won by 3 Wicket(s)
May 9,8:00 PM IST,Rajasthan Royals Vs Chennai Super Kings,De Beers Diamond Oval, Kimberley,Leag ue,Chennai Super Kings Won by 7 Wicket(s)
May 10,4:00 PM IST,Mumbai Indians Vs Royal Challengers Bangalore,St George's Park, Port Elizabeth,Leag ue,Mumbai Indians Won by 16 Run(s)
May 10,8:00 PM IST,Kolkata Knight Riders Vs Delhi Capitals,New Wanderers Stadium, Johannesburg,Leag ue,Delhi Capitals Won by 7 Wicket(s)
May 11,8:00 PM IST,Deccan Chargers Vs Rajasthan Royals,De Beers Diamond Oval, Kimberley,Leag ue,Deccan Chargers Won by 53 Run(s)
May 12,4:00 PM IST,Kolkata Knight Riders Vs Royal Challengers Bangalore,SuperSport Park, Centurion,Leag ue,Royal Challengers Bangalore Won by 6 Wicket(s)
May 12,8:00 PM IST,Kings XI Punjab Vs Mumbai Indians,SuperSport Park, Centurion,Leag ue,Mumbai Indians Won by 8 Wicket(s)
May 13,8:00 PM IST,Delhi Capitals Vs Deccan Chargers,Kingsmead, Durban,Leag ue,Delhi Capitals Won by 12 Run(s)
May 14,4:00 PM IST,Chennai Super Kings Vs Royal Challengers Bangalore,Kingsmead, Durban,Leag ue,Royal Challengers Bangalore Won by 2 Wicket(s)
May 14,8:00 PM IST,Rajasthan Royals Vs Mumbai Indians,Kingsmead, Durban,Leag ue,Rajasthan Royals Won by 2 Run(s)
May 15,8:00 PM IST,Delhi Capitals Vs Kings XI Punjab,OUTsurance Oval, Bloemfontein,Leag ue,Kings XI Punjab Won by 6 Wicket(s)
May 16,4:00 PM IST,Mumbai Indians Vs Chennai Super Kings,St George's Park, Port Elizabeth,Leag ue,Chennai Super Kings Won by 7 Wicket(s)
May 16,8:00 PM IST,Kolkata Knight Riders Vs Deccan Chargers,New Wanderers Stadium, Johannesburg,Leag ue,Deccan Chargers Won by 6 Wicket(s)
May 17,4:00 PM IST,Kings XI Punjab Vs Deccan Chargers,New Wanderers Stadium, Johannesburg,Leag ue,Kings XI Punjab Won by 1 Run(s)
May 17,8:00 PM IST,Delhi Capitals Vs Rajasthan Royals,OUTsurance Oval, Bloemfontein,Leag ue,Delhi Capitals Won by 14 Run(s)
May 18,8:00 PM IST,Chennai Super Kings Vs Kolkata Knight Riders,SuperSport Park, Centurion,Leag ue,Kolkata Knight Riders Won by 7 Wicket(s)
May 19,8:00 PM IST,Delhi Capitals Vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Leag ue,Royal Challengers Bangalore Won by 7 Wicket(s)
May 20,4:00 PM IST,Chennai Super Kings Vs Kings XI Punjab,Kingsmead, Durban,Leag ue,Chennai Super Kings Won by 24 Run(s)
May 20,8:00 PM IST,Rajasthan Royals Vs Kolkata Knight Riders,Kingsmead, Durban,Leag ue,Kolkata Knight Riders Won by 4 Wicket(s)
May 21,4:00 PM IST,Mumbai Indians Vs Delhi Capitals,SuperSport Park, Centurion,Leag ue,Delhi Capitals Won by 4 Wicket(s)
May 21,8:00 PM IST,Royal Challengers Bangalore Vs Deccan Chargers,SuperSport Park, Centurion,Leag ue,Royal Challengers Bangalore Won by 12 Run(s)
May 22,8:00 PM IST,Delhi Capitals Vs Deccan Chargers,SuperSport Park, Centurion,Quali fier,Deccan Chargers Won by 6 Wicket(s)
May 23,8:00 PM IST,Chennai Super Kings Vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Quali fier,Royal Challengers Bangalore Won by 6 Wicket(s)
May 24,8:00 PM IST,Deccan Chargers Vs Royal Challengers Bangalore,New Wanderers Stadium, Johannesburg,Final,Deccan Chargers Won by 6 Run(s)
2009
""
The winner of the tournament was Deccan Chargers.
